button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,demo_loop.thisRepN,demo_loop.thisTrialN,demo_loop.thisN,demo_loop.thisIndex,demo_loop.ran,target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num,key_resp_15.keys,key_resp_15.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_end_2.keys,key_resp_end_2.rt
1,[1.766200000001163],[1.766300000000797],A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,space,6.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,space,16.5809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,3,1,13.8238,0,0,0,0,1,MAGPIE_GOOSE_5.jpg,DOUBLE_EYED_FIG_PARROT_5.jpg,HAMERKOP_1.jpg,OYSTER_CATCHER_3.jpg,MALAGASY_WHITE_EYE_1.jpg,2,3,1,1,3,0,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,3,1,4.3035,0,1,1,1,1,GOLDEN_CHEEKED_WARBLER_2.jpg,SPOONBILL_1.jpg,WHITE_THROATED_BEE_EATER_1.jpg,AMERICAN_FLAMINGO_3.jpg,RED_HEADED_DUCK_3.jpg,3,2,1,1,3,1,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,1,1,19.913,0,2,2,2,1,ASIAN_CRESTED_IBIS_4.jpg,OYSTER_CATCHER_2.jpg,AMERICAN_KESTREL_1.jpg,CANARY_2.jpg,IVORY_GULL_2.jpg,2,1,3,2,1,2,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,3,1,9.1999,0,3,3,3,1,BROWN_NOODY_3.jpg,GUINEA_TURACO_5.jpg,SPANGLED_COTINGA_4.jpg,KIWI_2.jpg,UMBRELLA_BIRD_4.jpg,2,1,3,3,3,3,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,3,0,20.7398,0,4,4,4,1,INCA_TERN_4.jpg,BORNEAN_BRISTLEHEAD_5.jpg,SMITHS_LONGSPUR_5.jpg,WHITE_NECKED_RAVEN_4.jpg,ELLIOTS__PHEASANT_4.jpg,2,3,1,3,2,4,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,1,0,13.6275,0,5,5,5,1,INLAND_DOTTEREL_4.jpg,CRESTED_KINGFISHER_1.jpg,NICOBAR_PIGEON_4.jpg,JANDAYA_PARAKEET_5.jpg,ANNAS_HUMMINGBIRD_2.jpg,2,1,3,3,3,5,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,1,1,3.8206,0,6,6,6,1,SKUA_4.jpg,PARUS_MAJOR_2.jpg,PURPLE_FINCH_4.jpg,SNOWY_EGRET_5.jpg,ROADRUNNER_5.jpg,2,1,3,2,1,6,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,1,0,10.5532,0,7,7,7,1,INDIGO_BUNTING_1.jpg,SNOWY_PLOVER_1.jpg,DARWINS_FLYCATCHER_2.jpg,SKUA_2.jpg,FRIGATE_4.jpg,3,2,1,2,2,7,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,2,1,3.4612,0,8,8,8,1,right.png,right.png,up.png,left.png,right.png,,,,,2,8,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,3,0,6.0828,0,9,9,9,1,GRAY_KINGBIRD_5.jpg,BALD_EAGLE_2.jpg,COCK_OF_THE__ROCK_4.jpg,PEACOCK_1.jpg,AFRICAN_FIREFINCH_3.jpg,2,1,3,1,2,9,,,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,space,2.1056,,,,,,,,,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,left.png,left.png,right.png,up.png,left.png,,,,,1,0,,,1,1,6.9233,0,0,0,0,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,HAWAIIAN_GOOSE_4.jpg,HIMALAYAN_MONAL_2.jpg,RED_BEARDED_BEE_EATER_3.jpg,WATTLED_LAPWING_3.jpg,NORTHERN_GANNET_1.jpg,1,3,2,2,3,1,,,3,1,7.0657,0,1,1,1,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,NICOBAR_PIGEON_1.jpg,MYNA_4.jpg,LITTLE_AUK_1.jpg,NORTHERN_MOCKINGBIRD_4.jpg,EASTERN_BLUEBIRD_3.jpg,2,1,3,1,2,2,,,2,1,4.8161,0,2,2,2,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,RUBY_THROATED_HUMMINGBIRD_3.jpg,WHITE_CHEEKED_TURACO_4.jpg,MYNA_5.jpg,MALABAR_HORNBILL_5.jpg,NORTHERN_SHOVELER_1.jpg,2,1,3,1,2,3,,,1,0,10.6775,0,3,3,3,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,ALPINE_CHOUGH_4.jpg,BOBOLINK_3.jpg,SNOWY_EGRET_2.jpg,UMBRELLA_BIRD_1.jpg,EUROPEAN_GOLDFINCH_3.jpg,1,3,2,3,2,4,,,3,0,3.1544,0,4,4,4,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,ECUADORIAN_HILLSTAR_5.jpg,CRIMSON_SUNBIRD_5.jpg,BOBOLINK_5.jpg,GREEN_BROADBILL_4.jpg,SCARLET_IBIS_2.jpg,2,3,1,3,2,5,,,1,0,7.2838,0,5,5,5,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,GOLDEN_CHLOROPHONIA_5.jpg,COMMON_HOUSE_MARTIN_4.jpg,INLAND_DOTTEREL_5.jpg,VERMILION_FLYCATHER_5.jpg,ROADRUNNER_2.jpg,2,3,1,2,1,6,,,1,1,3.7844,0,6,6,6,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,NORTHERN_JACANA_3.jpg,BAR-TAILED_GODWIT_3.jpg,REGENT_BOWERBIRD_5.jpg,BANANAQUIT_3.jpg,SHORT_BILLED_DOWITCHER_5.jpg,2,1,3,3,3,7,,,1,0,3.5328,0,7,7,7,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,KILLDEAR_2.jpg,AZURE_TIT_5.jpg,WHITE_TAILED_TROPIC_2.jpg,ALEXANDRINE_PARAKEET_5.jpg,CAATINGA_CACHOLOTE_4.jpg,3,1,2,3,1,8,,,3,0,3.5711,0,8,8,8,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,right.png,right.png,left.png,up.png,right.png,,,,,1,9,,,3,0,6.092,0,9,9,9,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,PARUS_MAJOR_1.jpg,CALIFORNIA_GULL_2.jpg,BLACK_SWAN_4.jpg,COMMON_POORWILL_1.jpg,PINK_ROBIN_3.jpg,2,1,3,2,1,10,,,2,0,1.7499,0,10,10,10,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,left.png,left.png,left.png,right.png,up.png,,,,,2,11,,,2,1,0.5208,0,11,11,11,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,MALACHITE_KINGFISHER_2.jpg,SKUA_3.jpg,GREEN_BROADBILL_5.jpg,GANG_GANG_COCKATOO_4.jpg,INCA_TERN_2.jpg,3,1,2,1,2,12,,,2,1,0.1052,0,12,12,12,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,OVENBIRD_5.jpg,JABIRU_4.jpg,TURQUOISE_MOTMOT_3.jpg,FAIRY_PENGUIN_1.jpg,PURPLE_FINCH_5.jpg,1,2,3,1,1,13,,,2,0,0.088,0,13,13,13,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,AFRICAN_PIED_HORNBILL_5.jpg,CAPUCHINBIRD_2.jpg,ALEXANDRINE_PARAKEET_1.jpg,ECUADORIAN_HILLSTAR_3.jpg,KIWI_4.jpg,2,3,1,3,2,14,,,2,1,0.0974,0,14,14,14,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,CHUKAR_PARTRIDGE_5.jpg,OSTRICH_3.jpg,RAZORBILL_1.jpg,BLACK_THROATED_BUSHTIT_1.jpg,EMU_1.jpg,2,3,1,1,3,15,,,2,0,0.0538,0,15,15,15,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,SCARLET_TANAGER_2.jpg,BORNEAN_LEAFBIRD_1.jpg,LITTLE_AUK_3.jpg,CARMINE_BEE-EATER_1.jpg,BLONDE_CRESTED_WOODPECKER_3.jpg,2,1,3,3,3,16,,,3,1,0.1049,0,16,16,16,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,PYGMY_KINGFISHER_5.jpg,GREAT_POTOO_3.jpg,NORTHERN_PARULA_5.jpg,OYSTER_CATCHER_5.jpg,GRANDALA_2.jpg,3,2,1,2,2,17,,,3,0,0.1267,0,17,17,17,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,DOUBLE_BRESTED_CORMARANT_5.jpg,GILDED_FLICKER_2.jpg,CHINESE_POND_HERON_2.jpg,EURASIAN_MAGPIE_4.jpg,SNOWY_OWL_3.jpg,3,2,1,1,3,18,,,1,0,0.042,0,18,18,18,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,LITTLE_AUK_5.jpg,ORANGE_BRESTED_BUNTING_3.jpg,BEARDED_BELLBIRD_1.jpg,SANDHILL_CRANE_3.jpg,LILAC_ROLLER_5.jpg,3,1,2,2,3,19,,,1,0,0.7873,0,19,19,19,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,BREWERS_BLACKBIRD_3.jpg,GOLDEN_CHEEKED_WARBLER_3.jpg,PEACOCK_4.jpg,AMERICAN_AVOCET_5.jpg,CAPE_LONGCLAW_2.jpg,1,2,3,2,2,20,,,1,0,0.1438,0,20,20,20,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,LARK_BUNTING_2.jpg,KING_VULTURE_3.jpg,EMU_3.jpg,CHARA_DE_COLLAR_4.jpg,CACTUS_WREN_3.jpg,1,2,3,2,2,21,,,2,1,0.0706,0,21,21,21,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,BROWN_THRASHER_3.jpg,BLACK_BAZA_4.jpg,DOUBLE_EYED_FIG_PARROT_3.jpg,OYSTER_CATCHER_4.jpg,CRESTED_KINGFISHER_3.jpg,1,2,3,3,3,22,,,1,0,2.3039,0,22,22,22,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,EUROPEAN_TURTLE_DOVE_3.jpg,TEAL_DUCK_2.jpg,MALABAR_HORNBILL_2.jpg,PAINTED_BUNTING_3.jpg,SNOWY_EGRET_3.jpg,3,2,1,1,3,23,,,2,0,0.306,0,23,23,23,1,,
,,,A3NWS3V964RAYU,23,male,6,01/18/2023_12h03.14.017,perception_pilot,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,IVORY_GULL_1.jpg,EASTERN_GOLDEN_WEAVER_5.jpg,RED_FODY_1.jpg,WILSONS_BIRD_OF_PARADISE_4.jpg,FAIRY_TERN_4.jpg,2,1,3,2,1,24,,,1,1,1.954,0,24,24,24,1,,
